PESEL,Date of acceptance to the position,Salary,Education
7022600544,2020-01-01,4000,Certificate Program
33042844958,2020-01-01,4000,Professional Certification
69041837651,2020-01-01,4000,Diploma
87020409659,2020-01-01,4000,Professional Certification
44122205709,2020-01-01,800,Postgraduate Diploma
58040532551,2020-01-01,800,Professional Certification
57050797019,2020-01-01,800,Vocational Training
78090113759,2020-01-01,4000,Professional Certification
58121875816,2020-01-01,4000,Professional Certification
98061356349,2020-01-01,4000,Associate Degree
2062239154,2020-01-01,4000,Certificate Program
88121277158,2020-01-01,4000,Bachelor's Degree
69103172458,2020-01-01,4000,Bachelor's Degree
43083153335,2020-01-01,800,Bachelor's Degree
93090600553,2020-01-01,800,Certificate Program
53122269505,2020-01-01,800,Associate Degree
87102136417,2020-01-01,800,Associate Degree
4070784552,2020-01-01,800,Professional Certification
94030765615,2020-01-01,800,Postgraduate Diploma
4060726951,2020-01-01,4006.83,Master's Degree
93110271132,2020-01-01,4006.75,Doctorate (PhD)
82081743557,2020-01-01,4003.24,Professional Certification
48030546251,2020-01-01,4003.77,Diploma
81090893851,2020-01-01,4003.75,Diploma
97062391003,2020-01-01,4005.55,Diploma
87011946002,2020-01-01,4006.1,Associate Degree
58041720511,2020-01-01,4002.97,Certificate Program
98060347843,2020-01-01,800.7,Associate Degree
94030289511,2020-01-01,801.024,Associate Degree
92859236,2020-01-01,800.84,Vocational Training
9120763121,2020-01-01,800.768,Certificate Program
68041645859,2020-01-01,800.832,Associate Degree
82102622229,2020-01-01,800.854,Bachelor's Degree
8111879753,2020-01-01,800.634,Vocational Training
85051415953,2020-01-01,800.782,Certificate Program
79111792250,2020-01-01,801.022,High School Diploma
80122205158,2020-01-01,4004.01,Master's Degree
55062096854,2020-01-01,4005.53,Master's Degree
83092947637,2020-01-01,4005.78,Vocational Training
3121280157,2020-01-01,4005.11,Vocational Training
33102859351,2020-01-01,4004.66,Diploma
1020763818,2020-01-01,800.572,Diploma
56051300859,2020-01-01,800.708,Doctorate (PhD)
38032239358,2020-01-01,801.178,Postgraduate Diploma
61012711829,2020-01-01,801.07,Doctorate (PhD)
95050358951,2020-01-01,4006.77,High School Diploma
55072503355,2020-01-01,4004.59,Certificate Program
42101623225,2020-01-01,4004.89,Certificate Program
67042993855,2020-01-01,4002.92,Vocational Training
81110670327,2020-01-01,4003.5,Professional Certification
79092074220,2020-01-01,4005.22,Vocational Training
58021026257,2020-01-01,4005.28,Certificate Program
76072764155,2020-01-01,4005.44,Vocational Training
50042728659,2020-01-01,4005.71,High School Diploma
40090847352,2020-01-01,4004.64,Professional Certification
93013193557,2020-01-01,4003.72,Diploma
61102014948,2020-01-01,4004.99,Diploma
94111724902,2020-01-01,4007.22,Associate Degree
46090159053,2020-01-01,4003.19,Postgraduate Diploma
82070111202,2020-01-01,4003.42,Vocational Training
49071616815,2020-01-01,4005.56,Bachelor's Degree
36021927143,2020-01-01,800.902,Bachelor's Degree
71012915154,2020-01-01,800.604,Vocational Training
33010829802,2020-01-01,800.962,Vocational Training
94092222855,2020-01-01,801.106,Postgraduate Diploma
90030390231,2020-01-01,800.936,Diploma
43072350541,2020-01-01,801.48,Doctorate (PhD)
80052720857,2020-01-01,4009.28,Postgraduate Diploma
50692150,2020-01-01,4009.59,Diploma
30011197022,2020-01-01,4010.53,Doctorate (PhD)
42010549953,2020-01-01,4011.43,Certificate Program
46090104916,2020-01-01,4010.02,Bachelor's Degree
8011516628,2020-01-01,801.968,Professional Certification
81052057011,2020-01-01,801.314,Certificate Program
45082601253,2020-01-01,801.972,Professional Certification
88022629609,2020-01-01,802.296,Vocational Training
44040976008,2020-01-01,4012.41,Associate Degree
71041250651,2020-01-01,4010.24,Vocational Training
26090480254,2020-01-01,4009.54,Certificate Program
68082137818,2020-01-01,4012.68,Doctorate (PhD)
39013111023,2020-01-01,4008.47,Vocational Training
48051256117,2020-01-01,801.864,Postgraduate Diploma
70101077829,2020-01-01,802.594,Master's Degree
5111752806,2020-01-01,801.71,Diploma
66031317955,2020-01-01,801.758,Professional Certification
99101084530,2020-01-01,802.064,Certificate Program
43090849157,2020-01-01,801.792,High School Diploma
66052572052,2020-01-01,4012.53,High School Diploma
89112395826,2020-01-01,4006.79,Professional Certification
74071058956,2020-01-01,4008.53,Diploma
95020366508,2020-01-01,4012.88,Bachelor's Degree
29120676913,2020-01-01,4011.83,High School Diploma
67071307953,2020-01-01,802.684,Doctorate (PhD)
88070339554,2020-01-01,801.786,Doctorate (PhD)
58061475758,2020-01-01,802.962,High School Diploma
31021947250,2020-01-01,4014.13,Bachelor's Degree
53012815535,2020-01-01,410.6,Diploma
3073189852,2020-01-01,4011.17,Doctorate (PhD)
51649854,2020-01-01,4009.96,High School Diploma
54030154828,2020-01-01,4008.57,Postgraduate Diploma
68081024359,2020-01-01,4005.85,Diploma
9061297853,2020-01-01,802.476,Associate Degree
27060923920,2020-01-01,801.916,Professional Certification
29062162156,2020-01-01,802.304,High School Diploma
40022506502,2020-01-01,801.986,High School Diploma
52120156149,2020-01-01,801.8,Bachelor's Degree
41040663901,2020-01-01,4015.98,Professional Certification
33070440555,2020-01-01,4012.92,Certificate Program
9090305510,2020-01-01,4010.87,Bachelor's Degree
13001702,2020-01-01,4014.18,High School Diploma
51011410010,2020-01-01,4017.95,High School Diploma
87062440258,2020-01-01,4013.61,Vocational Training
72090679442,2020-01-01,4014.91,Certificate Program
75030363959,2020-01-01,4014.57,Master's Degree
25042172654,2020-01-01,4021.13,High School Diploma
25040246849,2020-01-01,4021.63,Bachelor's Degree
93103008352,2020-01-01,803.492,Associate Degree
69012638906,2020-01-01,802.286,Certificate Program
83122209122,2020-01-01,802.582,Bachelor's Degree
97031264053,2020-01-01,802.442,Bachelor's Degree
53111646153,2020-01-01,4014.27,Postgraduate Diploma
88020998145,2020-01-01,4012.2,Associate Degree
83122029100,2020-01-01,4011.72,Master's Degree
79012104259,2020-01-01,4013.76,Vocational Training
74071670048,2020-01-01,4012.71,Professional Certification
84110723330,2020-01-01,802.156,High School Diploma
39100106501,2020-01-01,802.76,Doctorate (PhD)
58091700053,2020-01-01,801.868,Vocational Training
56061410928,2020-01-01,804.07,Master's Degree
86081626135,2020-01-01,804.016,Doctorate (PhD)
66102093458,2020-01-01,4017.13,Diploma
53013151250,2020-01-01,4015.81,Associate Degree
41011909159,2020-01-01,4010.89,Vocational Training
10081943851,2020-01-01,4012.85,Master's Degree
3101872828,2020-01-01,4016.47,Certificate Program
10101239942,2020-01-01,4011.86,Doctorate (PhD)
7120751054,2020-01-01,4011.37,Master's Degree
10083142142,2020-01-01,4016.97,Postgraduate Diploma
66022348359,2020-01-01,4010.89,Associate Degree
31121997920,2020-01-01,4014,Postgraduate Diploma
28050149953,2020-01-01,4015.42,Professional Certification
38111256858,2020-01-01,4011.7,Bachelor's Degree
95091583518,2020-01-01,4016.96,Master's Degree
26012585355,2020-01-01,4011.15,Vocational Training
36071717950,2020-01-01,4010.86,Diploma
89020543229,2020-01-01,802.246,Diploma
34091620704,2020-01-01,803.482,Doctorate (PhD)
81072149446,2020-01-01,802.472,High School Diploma
52120274829,2020-01-01,804.214,Bachelor's Degree
78111275958,2020-01-01,4020.19,Associate Degree
46110479857,2020-01-01,4027.12,Bachelor's Degree
68010743951,2020-01-01,4020.17,Postgraduate Diploma
29103016635,2020-01-01,4014.35,Certificate Program
62080771250,2020-01-01,4015.22,Certificate Program
70090239059,2020-01-01,4021.43,Certificate Program
59030585517,2020-01-01,804.504,Associate Degree
37050640050,2020-01-01,805.038,Associate Degree
77072378359,2020-01-01,4022.5,Diploma
60070457124,2020-01-01,4014.87,Bachelor's Degree
51083138650,2020-01-01,4015.1,Master's Degree
71061380857,2020-01-01,4020.67,Vocational Training
61010476656,2020-01-01,4026.1,High School Diploma
99043074758,2020-01-01,4026.87,Associate Degree
62102131952,2020-01-01,4029.12,Doctorate (PhD)
61071800249,2020-01-01,4018.63,Doctorate (PhD)
89062244856,2020-01-01,4015.38,Postgraduate Diploma
32100893055,2020-01-01,804.764,Bachelor's Degree
62051479208,2020-01-01,805.404,Associate Degree
41041155355,2020-01-01,804.706,Master's Degree
34071003158,2020-01-01,804.584,Professional Certification
88081926314,2020-01-01,803.862,Certificate Program
85011250150,2020-01-01,805.596,Doctorate (PhD)
66121104223,2020-01-01,803.686,Diploma
87122023157,2020-01-01,4023.5,Diploma
77062260756,2020-01-01,4020.49,Vocational Training
91122489859,2020-01-01,4017.22,Master's Degree
5090208952,2020-01-01,4014.83,Diploma
78102885852,2020-01-01,4014.21,Diploma
38113037925,2020-01-01,802.89,Certificate Program
41082214055,2020-01-01,804.702,High School Diploma
66012904736,2020-01-01,804.016,Vocational Training
7101111255,2020-01-01,805.146,Doctorate (PhD)
34100686451,2020-01-01,804.264,Vocational Training
76062447853,2020-01-01,4017.73,Postgraduate Diploma
10070335155,2020-01-01,4019.2,Vocational Training
4070767238,2020-01-01,4023.45,Vocational Training
61082872228,2020-01-01,4018.54,High School Diploma
88091334000,2020-01-01,4018.71,High School Diploma
10100710134,2020-01-01,4016.74,Professional Certification
83090432957,2020-01-01,4020.7,Professional Certification
41101133318,2020-01-01,803.488,Master's Degree
66050197255,2020-01-01,802.816,High School Diploma
69111345855,2020-01-01,802.374,Vocational Training
48102469541,2020-01-01,803.926,Doctorate (PhD)
5112670659,2020-01-01,804.44,Professional Certification
97090130159,2020-01-01,803.24,Professional Certification
61121163201,2020-01-01,4022.77,Associate Degree
84041351802,2020-01-01,4023.09,High School Diploma
51062357450,2020-01-01,4021.47,Associate Degree
72070708636,2020-01-01,4018.76,Bachelor's Degree
8042993452,2020-01-01,4035.42,Doctorate (PhD)
41101993039,2020-01-01,4023.6,Associate Degree
84090678932,2020-01-01,803.074,Professional Certification
75031586319,2020-01-01,805.474,Diploma
