PESEL,Date of acceptance to the position,Salary,Education
85110835759,2012-08-08,11338.51,Associate Degree
49090351753,2019-09-22,6344.96,Master's Degree
30101739655,2018-09-14,6760.32,Doctorate (PhD)
47120804802,2013-05-08,9231.1,Bachelor's Degree
83092526250,2011-01-03,12350.35,Doctorate (PhD)
71091248224,2015-03-26,8038.41,Doctorate (PhD)
31112749358,2019-06-09,6560.91,High School Diploma
51110646853,2016-02-20,7794.31,Bachelor's Degree
27102618421,2010-01-16,10907.2,Certificate Program
74080259755,2013-08-09,8827.35,Master's Degree
88111707502,2014-06-18,8293.31,Vocational Training
74061219804,2019-06-03,6226.35,Doctorate (PhD)
66102093458,2019-12-20,5980.38,Diploma
77082729248,2018-06-21,6737.29,Doctorate (PhD)
88080225506,2015-01-06,7904.47,Master's Degree
55071390424,2010-12-08,8830.47,Professional Certification
97102149757,2012-01-12,9305.73,Vocational Training
58061231338,2013-05-16,8307.95,Diploma
64092018154,2018-06-21,6856.32,Vocational Training
66091296216,2013-08-13,8968.75,Associate Degree
94072551456,2011-07-17,10894.55,Diploma
78122706151,2017-07-28,7122.32,Professional Certification
75092811401,2019-10-25,5929.93,Vocational Training
27110691919,2018-12-05,6460.95,Associate Degree
92102790422,2011-04-26,9788.21,Master's Degree
27042138850,2016-11-15,7544.91,Doctorate (PhD)
39062502346,2010-12-11,12551.85,Doctorate (PhD)
55082356947,2013-05-01,8792.11,Certificate Program
31082281139,2011-12-28,10206.17,Bachelor's Degree
50121354542,2012-04-08,10037.59,Professional Certification
61050394855,2017-05-06,6973.99,High School Diploma
98091718555,2011-11-26,9242.56,Bachelor's Degree
25010438030,2019-04-10,6542.64,Diploma
95031971140,2019-04-05,6645.14,Doctorate (PhD)
32120973058,2019-10-30,6088.05,Bachelor's Degree
40032805244,2011-08-17,11729.73,Doctorate (PhD)
49012319650,2010-11-26,8885.47,Certificate Program
78092615150,2019-07-19,6179.26,Certificate Program
64101010052,2012-03-02,8782.93,Certificate Program
61030920553,2015-10-12,7794.36,Postgraduate Diploma
44100411658,2014-12-13,9417.13,Master's Degree
4022479853,2012-10-10,10890.2,Master's Degree
2072620953,2010-05-09,9506.05,Vocational Training
76120494351,2012-12-18,10401.17,Master's Degree
48113030019,2013-05-03,9391.11,Professional Certification
60052558555,2011-10-14,10561.88,Master's Degree
73060296250,2019-12-12,6126.94,Bachelor's Degree
38081115524,2019-08-15,6211.55,Diploma
29011753954,2016-03-27,8172.05,Postgraduate Diploma
58021557948,2015-10-01,7643.98,Doctorate (PhD)
79112341156,2019-09-19,6196.08,Master's Degree
27052757254,2010-12-14,9539.14,Bachelor's Degree
74061412627,2019-09-15,6042.45,Diploma
7062783139,2014-12-19,8527.41,Master's Degree
64040637158,2014-01-18,8419.2,Master's Degree
28022376149,2014-09-25,7923.05,Certificate Program
74070549349,2015-07-05,8765.42,Master's Degree
99033007759,2013-06-19,8345.7,Professional Certification
54082955552,2012-02-29,10761.02,Master's Degree
89050302454,2011-11-09,10130.38,Master's Degree
85082058150,2016-10-16,7554.23,Certificate Program
75080258553,2013-06-21,9712.97,Master's Degree
52080186011,2013-07-03,10526.31,High School Diploma
27101661956,2012-08-11,8490.53,Certificate Program
26081976854,2012-07-09,8145.86,Certificate Program
40110238650,2018-02-28,6927.3,High School Diploma
47022721155,2014-08-26,8073.36,Certificate Program
25120202349,2019-09-14,6354.98,Vocational Training
60032770456,2011-12-15,9489.69,Master's Degree
99082997359,2018-12-06,6528.46,Doctorate (PhD)
98101077052,2018-06-27,6601.88,Vocational Training
76061233730,2019-06-03,6227.22,Diploma
56060770850,2017-06-29,7005.32,Diploma
48051061050,2019-10-16,5883.45,Vocational Training
32110381957,2019-05-05,6225.07,Master's Degree
68122325111,2010-06-27,9721.58,Vocational Training
95022532255,2010-07-28,10390.05,Professional Certification
63121960611,2017-07-10,6850.28,Diploma
